"abbr_state","county","candidate","votes","percent_won","percent_complete","fips"
"ak","alaska","Hillary Clinton",NA,NA,0,NA
"ak","alaska","Donald Trump",NA,NA,0,NA
"ak","alaska","Jill Stein",NA,NA,0,NA
"ak","alaska","Gary Johnson",NA,NA,0,NA
"ak","alaska","Other",NA,NA,0,NA
"ak","aleutians east borough",NA,NA,NA,NA,2013
"ak","aleutians west census area",NA,NA,NA,NA,2016
"ak","anchorage municipality",NA,NA,NA,NA,2020
"ak","bethel census area",NA,NA,NA,NA,2050
"ak","bristol bay borough",NA,NA,NA,NA,2060
"ak","denali borough",NA,NA,NA,NA,2068
"ak","dillingham census area",NA,NA,NA,NA,2070
"ak","fairbanks north star borough",NA,NA,NA,NA,2090
"ak","haines borough",NA,NA,NA,NA,2100
"ak","hoonah-angoon census area",NA,NA,NA,NA,2105
"ak","juneau city and borough",NA,NA,NA,NA,2110
"ak","kenai peninsula borough",NA,NA,NA,NA,2122
"ak","ketchikan gateway borough",NA,NA,NA,NA,2130
"ak","kodiak island borough",NA,NA,NA,NA,2150
"ak","lake and peninsula borough",NA,NA,NA,NA,2164
"ak","matanuska-susitna borough",NA,NA,NA,NA,2170
"ak","nome census area",NA,NA,NA,NA,2180
"ak","north slope borough",NA,NA,NA,NA,2185
"ak","northwest arctic borough",NA,NA,NA,NA,2188
"ak","petersburg census area",NA,NA,NA,NA,2195
"ak","prince of wales-hyder census area",NA,NA,NA,NA,2198
"ak","sitka city and borough",NA,NA,NA,NA,2220
"ak","skagway municipality",NA,NA,NA,NA,2230
"ak","southeast fairbanks census area",NA,NA,NA,NA,2240
"ak","valdez-cordova census area",NA,NA,NA,NA,2261
"ak","wade hampton census area",NA,NA,NA,NA,2270
"ak","wrangell city and borough",NA,NA,NA,NA,2275
"ak","yakutat city and borough",NA,NA,NA,NA,2282
"ak","yukon-koyukuk census area",NA,NA,NA,NA,2290
"al","autauga","Hillary Clinton",NA,NA,0,1001
"al","autauga","Jill Stein",NA,NA,0,1001
"al","autauga","Gary Johnson",NA,NA,0,1001
"al","autauga","Donald Trump",NA,NA,0,1001
"al","baldwin","Jill Stein",NA,NA,0,1003
"al","baldwin","Gary Johnson",NA,NA,0,1003
"al","baldwin","Hillary Clinton",NA,NA,0,1003
"al","baldwin","Donald Trump",NA,NA,0,1003
"al","barbour","Donald Trump",NA,NA,0,1005
"al","barbour","Jill Stein",NA,NA,0,1005
"al","barbour","Hillary Clinton",NA,NA,0,1005
"al","barbour","Gary Johnson",NA,NA,0,1005
"al","bibb","Donald Trump",NA,NA,0,1007
"al","bibb","Hillary Clinton",NA,NA,0,1007
"al","bibb","Gary Johnson",NA,NA,0,1007
"al","bibb","Jill Stein",NA,NA,0,1007
"al","blount","Jill Stein",NA,NA,0,1009
"al","blount","Donald Trump",NA,NA,0,1009
"al","blount","Hillary Clinton",NA,NA,0,1009
"al","blount","Gary Johnson",NA,NA,0,1009
"al","bullock","Hillary Clinton",NA,NA,0,1011
"al","bullock","Jill Stein",NA,NA,0,1011
"al","bullock","Gary Johnson",NA,NA,0,1011
"al","bullock","Donald Trump",NA,NA,0,1011
"al","butler","Gary Johnson",NA,NA,0,1013
"al","butler","Jill Stein",NA,NA,0,1013
"al","butler","Donald Trump",NA,NA,0,1013
"al","butler","Hillary Clinton",NA,NA,0,1013
"al","calhoun","Gary Johnson",NA,NA,0,1015
"al","calhoun","Hillary Clinton",NA,NA,0,1015
"al","calhoun","Jill Stein",NA,NA,0,1015
"al","calhoun","Donald Trump",NA,NA,0,1015
"al","chambers","Hillary Clinton",NA,NA,0,1017
"al","chambers","Jill Stein",NA,NA,0,1017
"al","chambers","Donald Trump",NA,NA,0,1017
"al","chambers","Gary Johnson",NA,NA,0,1017
"al","cherokee","Gary Johnson",NA,NA,0,1019
"al","cherokee","Hillary Clinton",NA,NA,0,1019
"al","cherokee","Donald Trump",NA,NA,0,1019
"al","cherokee","Jill Stein",NA,NA,0,1019
"al","chilton","Jill Stein",NA,NA,0,1021
"al","chilton","Gary Johnson",NA,NA,0,1021
"al","chilton","Donald Trump",NA,NA,0,1021
"al","chilton","Hillary Clinton",NA,NA,0,1021
"al","choctaw","Donald Trump",NA,NA,0,1023
"al","choctaw","Hillary Clinton",NA,NA,0,1023
"al","choctaw","Gary Johnson",NA,NA,0,1023
"al","choctaw","Jill Stein",NA,NA,0,1023
"al","clarke","Donald Trump",NA,NA,0,1025
"al","clarke","Hillary Clinton",NA,NA,0,1025
"al","clarke","Jill Stein",NA,NA,0,1025
"al","clarke","Gary Johnson",NA,NA,0,1025
"al","clay","Hillary Clinton",NA,NA,0,1027
"al","clay","Gary Johnson",NA,NA,0,1027
"al","clay","Jill Stein",NA,NA,0,1027
"al","clay","Donald Trump",NA,NA,0,1027
"al","cleburne","Gary Johnson",NA,NA,0,1029
"al","cleburne","Jill Stein",NA,NA,0,1029
"al","cleburne","Hillary Clinton",NA,NA,0,1029
"al","cleburne","Donald Trump",NA,NA,0,1029
"al","coffee","Gary Johnson",NA,NA,0,1031
"al","coffee","Hillary Clinton",NA,NA,0,1031
"al","coffee","Jill Stein",NA,NA,0,1031
"al","coffee","Donald Trump",NA,NA,0,1031
"al","colbert","Jill Stein",NA,NA,0,1033
"al","colbert","Gary Johnson",NA,NA,0,1033
"al","colbert","Hillary Clinton",NA,NA,0,1033
"al","colbert","Donald Trump",NA,NA,0,1033
"al","conecuh","Gary Johnson",NA,NA,0,1035
"al","conecuh","Jill Stein",NA,NA,0,1035
"al","conecuh","Hillary Clinton",NA,NA,0,1035
"al","conecuh","Donald Trump",NA,NA,0,1035
"al","coosa","Hillary Clinton",NA,NA,0,1037
