"abbr_state","county","candidate","votes","percent_won","percent_complete","fips"
"mo","adair","democrat",4145,40.7,100,29001
"mo","adair","other",290,2.8,300,87003
"mo","adair","republican",5752,56.5,100,29001
"mo","andrew","democrat",3176,34.8,100,29003
"mo","andrew","other",181,2,300,87009
"mo","andrew","republican",5771,63.2,100,29003
"mo","atchison","democrat",842,31.5,100,29005
"mo","atchison","other",89,3.3,300,87015
"mo","atchison","republican",1746,65.2,100,29005
"mo","audrain","democrat",3833,38.2,100,29007
"mo","audrain","other",376,3.8,300,87021
"mo","audrain","republican",5831,58.1,100,29007
"mo","barry","democrat",4161,28.5,100,29009
"mo","barry","other",498,3.4,300,87027
"mo","barry","republican",9942,68.1,100,29009
"mo","barton","democrat",1203,20.4,100,29011
"mo","barton","other",143,2.4,300,87033
"mo","barton","republican",4553,77.2,100,29011
"mo","bates","democrat",2987,37.3,100,29013
"mo","bates","other",240,2.9,300,87039
"mo","bates","republican",4772,59.7,100,29013
"mo","benton","democrat",3198,33.6,100,29015
"mo","benton","other",290,3.1,300,87045
"mo","benton","republican",6043,63.4,100,29015
"mo","bollinger","democrat",1416,25.2,100,29017
"mo","bollinger","other",142,2.5,300,87051
"mo","bollinger","republican",4051,72.2,100,29017
"mo","boone",NA,NA,NA,NA,29019
"mo","boone","democrat",45363,55,977,NA
"mo","boone","other",3112,3.8,2931,NA
"mo","boone","republican",34051,41.3,977,NA
"mo","buchanan","democrat",15628,43.9,100,29021
"mo","buchanan","other",1237,3.4,300,87063
"mo","buchanan","republican",18706,52.6,100,29021
"mo","butler","democrat",4039,23.7,100,29023
"mo","butler","other",438,2.6,300,87069
"mo","butler","republican",12595,73.8,100,29023
"mo","caldwell","democrat",1442,33.4,100,29025
"mo","caldwell","other",151,3.5,300,87075
"mo","caldwell","republican",2726,63.1,100,29025
"mo","callaway","democrat",7338,38.2,100,29027
"mo","callaway","other",749,4,300,87081
"mo","callaway","republican",11146,58,100,29027
"mo","camden","democrat",6600,29.8,100,29029
"mo","camden","other",682,3.1,300,87087
"mo","camden","republican",14860,67.1,100,29029
"mo","cape girardeau","democrat",11509,31.3,100,29031
"mo","cape girardeau","other",1096,2.9,300,87093
"mo","cape girardeau","republican",24141,65.7,100,29031
"mo","carroll",NA,NA,NA,NA,29033
"mo","carroll","democrat",1392,32,929,NA
"mo","carroll","other",115,2.6,2787,NA
"mo","carroll","republican",2837,65.3,929,NA
"mo","carter","democrat",651,23.2,100,29035
"mo","carter","other",104,3.7,300,87105
"mo","carter","republican",2051,73.1,100,29035
"mo","cass","democrat",20670,40.7,100,29037
"mo","cass","other",1686,3.3,300,87111
"mo","cass","republican",28487,56,100,29037
"mo","cedar","democrat",1664,26.5,100,29039
"mo","cedar","other",202,3.2,300,87117
"mo","cedar","republican",4414,70.3,100,29039
"mo","chariton","democrat",1522,38.4,100,29041
"mo","chariton","other",78,2,300,87123
"mo","chariton","republican",2363,59.6,100,29041
"mo","christian","democrat",11589,27.9,100,29043
"mo","christian","other",1285,3.1,300,87129
"mo","christian","republican",28612,69,100,29043
"mo","clark","democrat",1144,34.7,100,29045
"mo","clark","other",96,3,300,87135
"mo","clark","republican",2053,62.3,100,29045
"mo","clay","democrat",52299,47.7,100,29047
"mo","clay","other",3696,3.3,300,87141
"mo","clay","republican",53749,49,100,29047
"mo","clinton","democrat",3860,37.8,100,29049
"mo","clinton","other",334,3.3,300,87147
"mo","clinton","republican",6021,58.9,100,29049
"mo","cole","democrat",15802,42.1,100,29051
"mo","cole","other",876,2.3,300,87153
"mo","cole","republican",20864,55.6,100,29051
