abbr_state,county,fips,Donald Trump,Hillary Clinton,Gary Johnson,Jill Stein,Other
ak,alaska.,NA,130415,0,0,0,0
ak,alaska.,NA,0,0,0,0,4128
ak,alaska.,NA,0,93007,0,0,0
ak,alaska.,NA,0,0,14593,0,0
ak,alaska.,NA,0,0,0,4445,0
ak,aleutians east borough,2013,0,0,0,0,0
ak,aleutians west census area,2016,0,0,0,0,0
ak,anchorage municipality,2020,0,0,0,0,0
ak,bethel census area,2050,0,0,0,0,0
ak,bristol bay borough,2060,0,0,0,0,0
ak,denali borough,2068,0,0,0,0,0
ak,dillingham census area,2070,0,0,0,0,0
ak,fairbanks north star borough,2090,0,0,0,0,0
ak,haines borough,2100,0,0,0,0,0
ak,hoonah-angoon census area,2105,0,0,0,0,0
ak,juneau city and borough,2110,0,0,0,0,0
ak,kenai peninsula borough,2122,0,0,0,0,0
ak,ketchikan gateway borough,2130,0,0,0,0,0
ak,kodiak island borough,2150,0,0,0,0,0
ak,lake and peninsula borough,2164,0,0,0,0,0
ak,matanuska-susitna borough,2170,0,0,0,0,0
ak,nome census area,2180,0,0,0,0,0
ak,north slope borough,2185,0,0,0,0,0
ak,northwest arctic borough,2188,0,0,0,0,0
ak,petersburg census area,2195,0,0,0,0,0
ak,prince of wales-hyder census area,2198,0,0,0,0,0
ak,sitka city and borough,2220,0,0,0,0,0
ak,skagway municipality,2230,0,0,0,0,0
ak,southeast fairbanks census area,2240,0,0,0,0,0
ak,valdez-cordova census area,2261,0,0,0,0,0
ak,wade hampton census area,2270,0,0,0,0,0
ak,wrangell city and borough,2275,0,0,0,0,0
ak,yakutat city and borough,2282,0,0,0,0,0
ak,yukon-koyukuk census area,2290,0,0,0,0,0
al,autauga,1001,0,0,0,105,0
al,autauga,1001,18110,0,0,0,0
al,autauga,1001,0,0,538,0,0
al,autauga,1001,0,5908,0,0,0
al,baldwin,1003,0,0,0,453,0
al,baldwin,1003,72780,0,0,0,0
al,baldwin,1003,0,0,2448,0,0
al,baldwin,1003,0,18409,0,0,0
al,barbour,1005,0,0,93,0,0
al,barbour,1005,0,0,0,18,0
al,barbour,1005,0,4848,0,0,0
al,barbour,1005,5431,0,0,0,0
al,bibb,1007,0,1874,0,0,0
al,bibb,1007,0,0,124,0,0
al,bibb,1007,0,0,0,17,0
al,bibb,1007,6733,0,0,0,0
al,blount,1009,22808,0,0,0,0
al,blount,1009,0,2150,0,0,0
al,blount,1009,0,0,0,89,0
al,blount,1009,0,0,337,0,0
al,bullock,1011,0,0,0,10,0
al,bullock,1011,0,0,22,0,0
al,bullock,1011,1139,0,0,0,0
al,bullock,1011,0,3530,0,0,0
al,butler,1013,4891,0,0,0,0
al,butler,1013,0,0,0,13,0
al,butler,1013,0,0,65,0,0
al,butler,1013,0,3716,0,0,0
al,calhoun,1015,0,0,0,262,0
al,calhoun,1015,0,13197,0,0,0
al,calhoun,1015,32803,0,0,0,0
al,calhoun,1015,0,0,1114,0,0
al,chambers,1017,0,0,0,44,0
al,chambers,1017,0,5763,0,0,0
al,chambers,1017,0,0,168,0,0
al,chambers,1017,7803,0,0,0,0
al,cherokee,1019,0,0,0,25,0
al,cherokee,1019,0,1524,0,0,0
al,cherokee,1019,8809,0,0,0,0
al,cherokee,1019,0,0,145,0,0
al,chilton,1021,0,0,226,0,0
al,chilton,1021,0,2909,0,0,0
al,chilton,1021,0,0,0,52,0
al,chilton,1021,15068,0,0,0,0
al,choctaw,1023,4102,0,0,0,0
al,choctaw,1023,0,0,0,6,0
al,choctaw,1023,0,3109,0,0,0
al,choctaw,1023,0,0,51,0,0
al,clarke,1025,0,5712,0,0,0
al,clarke,1025,7109,0,0,0,0
al,clarke,1025,0,0,98,0,0
al,clarke,1025,0,0,0,17,0
al,clay,1027,0,0,0,16,0
al,clay,1027,0,0,92,0,0
al,clay,1027,0,1234,0,0,0
al,clay,1027,5230,0,0,0,0
al,cleburne,1029,0,684,0,0,0
al,cleburne,1029,0,0,0,20,0
al,cleburne,1029,0,0,90,0,0
al,cleburne,1029,5738,0,0,0,0
al,coffee,1031,0,0,0,102,0
al,coffee,1031,0,0,392,0,0
al,coffee,1031,15825,0,0,0,0
al,coffee,1031,0,4194,0,0,0
al,colbert,1033,0,7296,0,0,0
al,colbert,1033,0,0,0,106,0
al,colbert,1033,16718,0,0,0,0
al,colbert,1033,0,0,506,0,0
al,conecuh,1035,0,0,51,0,0
al,conecuh,1035,3413,0,0,0,0
al,conecuh,1035,0,0,0,10,0
al,conecuh,1035,0,3069,0,0,0
al,coosa,1037,3376,0,0,0,0
al,coosa,1037,0,0,0,14,0
al,coosa,1037,0,0,53,0,0
al,coosa,1037,0,1780,0,0,0
al,covington,1039,13222,0,0,0,0
al,covington,1039,0,2379,0,0,0
al,covington,1039,0,0,0,36,0
al,covington,1039,0,0,181,0,0
al,crenshaw,1041,0,0,0,14,0
al,crenshaw,1041,4511,0,0,0,0
al,crenshaw,1041,0,0,64,0,0
al,crenshaw,1041,0,1663,0,0,0
al,cullman,1043,0,0,682,0,0
al,cullman,1043,0,0,0,132,0
al,cullman,1043,32734,0,0,0,0
al,cullman,1043,0,3730,0,0,0
al,dale,1045,0,0,349,0,0
al,dale,1045,0,4408,0,0,0
al,dale,1045,0,0,0,62,0
al,dale,1045,13798,0,0,0,0
al,dallas,1047,0,0,0,24,0
al,dallas,1047,0,0,96,0,0
al,dallas,1047,0,12826,0,0,0
al,dallas,1047,5784,0,0,0,0
al,dekalb,1049,21779,0,0,0,0
al,dekalb,1049,0,0,469,0,0
al,dekalb,1049,0,3682,0,0,0
al,dekalb,1049,0,0,0,156,0
al,elmore,1051,0,0,738,0,0
al,elmore,1051,0,0,0,112,0
al,elmore,1051,27619,0,0,0,0
al,elmore,1051,0,8436,0,0,0
al,escambia,1053,0,0,0,38,0
al,escambia,1053,10282,0,0,0,0
al,escambia,1053,0,4698,0,0,0
al,escambia,1053,0,0,195,0,0
al,etowah,1055,0,10350,0,0,0
al,etowah,1055,32132,0,0,0,0
al,etowah,1055,0,0,829,0,0
al,etowah,1055,0,0,0,163,0
al,fayette,1057,0,0,0,24,0
al,fayette,1057,0,1358,0,0,0
al,fayette,1057,6705,0,0,0,0
al,fayette,1057,0,0,109,0,0
al,franklin,1059,0,0,0,54,0
al,franklin,1059,0,2197,0,0,0
al,franklin,1059,0,0,238,0,0
al,franklin,1059,9466,0,0,0,0
al,geneva,1061,9967,0,0,0,0
al,geneva,1061,0,0,147,0,0
al,geneva,1061,0,1522,0,0,0
al,geneva,1061,0,0,0,23,0
al,greene,1063,0,0,13,0,0
al,greene,1063,838,0,0,0,0
al,greene,1063,0,0,0,5,0
al,greene,1063,0,4006,0,0,0
al,hale,1065,0,0,54,0,0
al,hale,1065,3172,0,0,0,0
al,hale,1065,0,0,0,12,0
al,hale,1065,0,4772,0,0,0
al,henry,1067,0,0,91,0,0
al,henry,1067,0,0,0,17,0
al,henry,1067,0,2286,0,0,0
al,henry,1067,5623,0,0,0,0
al,houston,1069,0,10547,0,0,0
al,houston,1069,0,0,0,144,0
al,houston,1069,30567,0,0,0,0
al,houston,1069,0,0,772,0,0
al,jackson,1071,0,0,0,90,0
al,jackson,1071,0,0,389,0,0
al,jackson,1071,0,3663,0,0,0
al,jackson,1071,16643,0,0,0,0
al,jefferson,1073,0,0,0,1509,0
al,jefferson,1073,0,0,6407,0,0
al,jefferson,1073,130614,0,0,0,0
al,jefferson,1073,0,151581,0,0,0
al,lamar,1075,5819,0,0,0,0
al,lamar,1075,0,0,62,0,0
al,lamar,1075,0,1035,0,0,0
al,lamar,1075,0,0,0,15,0
al,lauderdale,1077,0,0,0,220,0
al,lauderdale,1077,27735,0,0,0,0
al,lauderdale,1077,0,0,981,0,0
al,lauderdale,1077,0,9877,0,0,0
al,lawrence,1079,10732,0,0,0,0
al,lawrence,1079,0,0,249,0,0
al,lawrence,1079,0,3611,0,0,0
al,lawrence,1079,0,0,0,31,0
al,lee,1081,34321,0,0,0,0
al,lee,1081,0,0,0,362,0
al,lee,1081,0,20987,0,0,0
al,lee,1081,0,0,1998,0,0
al,limestone,1083,0,0,1036,0,0
al,limestone,1083,0,0,0,200,0
al,limestone,1083,28824,0,0,0,0
al,limestone,1083,0,9340,0,0,0
al,lowndes,1085,0,0,0,11,0
al,lowndes,1085,1751,0,0,0,0
al,lowndes,1085,0,4882,0,0,0
al,lowndes,1085,0,0,32,0,0
al,macon,1087,0,7237,0,0,0
al,macon,1087,0,0,0,48,0
al,macon,1087,0,0,69,0,0
al,macon,1087,1394,0,0,0,0
al,madison,1089,0,0,6591,0,0
al,madison,1089,0,0,0,1248,0
al,madison,1089,0,62435,0,0,0
al,madison,1089,89199,0,0,0,0
al,marengo,1091,0,5607,0,0,0
al,marengo,1091,0,0,0,13,0
al,marengo,1091,0,0,104,0,0
al,marengo,1091,5224,0,0,0,0
al,marion,1093,0,0,0,26,0
al,marion,1093,0,0,181,0,0
al,marion,1093,0,1432,0,0,0
al,marion,1093,11273,0,0,0,0
al,marshall,1095,29217,0,0,0,0
al,marshall,1095,0,0,677,0,0
al,marshall,1095,0,4913,0,0,0
al,marshall,1095,0,0,0,158,0
al,mobile,1097,91087,0,0,0,0
al,mobile,1097,0,68429,0,0,0
al,mobile,1097,0,0,3113,0,0
al,mobile,1097,0,0,0,758,0
al,monroe,1099,5771,0,0,0,0
al,monroe,1099,0,0,88,0,0
al,monroe,1099,0,0,0,16,0
al,monroe,1099,0,4310,0,0,0
al,montgomery,1101,0,0,1486,0,0
al,montgomery,1101,0,0,0,489,0
al,montgomery,1101,33928,0,0,0,0
al,montgomery,1101,0,58669,0,0,0
al,morgan,1103,0,0,0,218,0
al,morgan,1103,0,11216,0,0,0
al,morgan,1103,0,0,1165,0,0
al,morgan,1103,37392,0,0,0,0
al,perry,1105,0,3823,0,0,0
al,perry,1105,1403,0,0,0,0
al,perry,1105,0,0,23,0,0
al,perry,1105,0,0,0,6,0
al,pickens,1107,0,0,49,0,0
al,pickens,1107,5454,0,0,0,0
al,pickens,1107,0,0,0,19,0
al,pickens,1107,0,3972,0,0,0
al,pike,1109,0,0,257,0,0
al,pike,1109,0,0,0,48,0
al,pike,1109,7681,0,0,0,0
al,pike,1109,0,5039,0,0,0
al,randolph,1111,7697,0,0,0,0
al,randolph,1111,0,0,124,0,0
al,randolph,1111,0,0,0,19,0
al,randolph,1111,0,2290,0,0,0
al,russell,1113,0,0,281,0,0
al,russell,1113,9210,0,0,0,0
al,russell,1113,0,9577,0,0,0
al,russell,1113,0,0,0,68,0
al,shelby,1117,72846,0,0,0,0
al,shelby,1117,0,0,2956,0,0
al,shelby,1117,0,22927,0,0,0
al,shelby,1117,0,0,0,479,0
al,st. clair,1115,0,0,0,130,0
al,st. clair,1115,31579,0,0,0,0
al,st. clair,1115,0,5550,0,0,0
al,st. clair,1115,0,0,678,0,0
al,sumter,1119,0,0,57,0,0
al,sumter,1119,1581,0,0,0,0
al,sumter,1119,0,4739,0,0,0
al,sumter,1119,0,0,0,14,0
al,talladega,1121,0,0,0,105,0
al,talladega,1121,20596,0,0,0,0
al,talladega,1121,0,12108,0,0,0
al,talladega,1121,0,0,409,0,0
al,tallapoosa,1123,0,5271,0,0,0
al,tallapoosa,1123,0,0,0,49,0
al,tallapoosa,1123,0,0,217,0,0
al,tallapoosa,1123,12967,0,0,0,0
al,tuscaloosa,1125,47701,0,0,0,0
al,tuscaloosa,1125,0,0,0,390,0
al,tuscaloosa,1125,0,0,1871,0,0
al,tuscaloosa,1125,0,31746,0,0,0
al,walker,1127,0,0,0,95,0
al,walker,1127,0,0,454,0,0
al,walker,1127,0,4486,0,0,0
al,walker,1127,24208,0,0,0,0
al,washington,1129,0,0,73,0,0
al,washington,1129,0,2366,0,0,0
al,washington,1129,0,0,0,22,0
al,washington,1129,6031,0,0,0,0
al,wilcox,1131,0,0,22,0,0
al,wilcox,1131,0,4329,0,0,0
al,wilcox,1131,1737,0,0,0,0
al,wilcox,1131,0,0,0,7,0
al,winston,1133,9225,0,0,0,0
al,winston,1133,0,871,0,0,0
al,winston,1133,0,0,130,0,0
al,winston,1133,0,0,0,29,0
ar,arkansas,5001,3825,0,0,0,0
ar,arkansas,5001,0,0,0,64,0
ar,arkansas,5001,0,0,0,0,213
ar,arkansas,5001,0,1939,0,0,0
ar,arkansas,5001,0,0,126,0,0
ar,ashley,5003,0,2408,0,0,0
ar,ashley,5003,0,0,156,0,0
ar,ashley,5003,0,0,0,0,91
ar,ashley,5003,5338,0,0,0,0
ar,ashley,5003,0,0,0,34,0
ar,baxter,5005,0,0,0,138,0
ar,baxter,5005,14655,0,0,0,0
ar,baxter,5005,0,0,0,0,165
ar,baxter,5005,0,0,451,0,0
ar,baxter,5005,0,4163,0,0,0
ar,benton,5007,0,0,3856,0,0
ar,benton,5007,0,27894,0,0,0
ar,benton,5007,60751,0,0,0,0
ar,benton,5007,0,0,0,0,815
ar,benton,5007,0,0,0,946,0
ar,boone,5009,0,0,0,134,0
ar,boone,5009,0,2925,0,0,0
ar,boone,5009,0,0,0,0,249
ar,boone,5009,12225,0,0,0,0
ar,boone,5009,0,0,379,0,0
ar,bradley,5011,0,0,0,0,48
ar,bradley,5011,0,0,73,0,0
ar,bradley,5011,0,0,0,16,0
ar,bradley,5011,0,1317,0,0,0
ar,bradley,5011,2163,0,0,0,0
ar,calhoun,5013,1554,0,0,0,0
ar,calhoun,5013,0,0,0,3,0
ar,calhoun,5013,0,0,0,0,13
ar,calhoun,5013,0,0,44,0,0
ar,calhoun,5013,0,636,0,0,0
ar,carroll,5015,0,0,0,210,0
ar,carroll,5015,0,0,0,0,102
ar,carroll,5015,0,3334,0,0,0
ar,carroll,5015,6773,0,0,0,0
ar,carroll,5015,0,0,237,0,0
ar,chicot,5017,0,0,35,0,0
ar,chicot,5017,0,0,0,0,33
ar,chicot,5017,0,2350,0,0,0
ar,chicot,5017,0,0,0,15,0
ar,chicot,5017,1716,0,0,0,0
ar,clark,5019,0,0,196,0,0
ar,clark,5019,0,3606,0,0,0
ar,clark,5019,0,0,0,68,0
ar,clark,5019,4398,0,0,0,0
ar,clark,5019,0,0,0,0,97
ar,clay,5021,3779,0,0,0,0
ar,clay,5021,0,0,0,35,0
ar,clay,5021,0,0,0,0,65
ar,clay,5021,0,0,100,0,0
ar,clay,5021,0,1999,0,0,0
ar,cleburne,5023,0,2101,0,0,0
ar,cleburne,5023,0,0,0,0,121
ar,cleburne,5023,9454,0,0,0,0
ar,cleburne,5023,0,0,0,63,0
ar,cleburne,5023,0,0,229,0,0
ar,cleveland,5025,0,0,0,8,0
ar,cleveland,5025,0,0,59,0,0
ar,cleveland,5025,2460,0,0,0,0
ar,cleveland,5025,0,0,0,0,49
ar,cleveland,5025,0,723,0,0,0
ar,columbia,5027,0,0,117,0,0
ar,columbia,5027,0,0,0,40,0
ar,columbia,5027,0,0,0,0,84
ar,columbia,5027,0,3140,0,0,0
ar,columbia,5027,5456,0,0,0,0
ar,conway,5029,0,0,0,43,0
ar,conway,5029,0,2655,0,0,0
ar,conway,5029,0,0,171,0,0
ar,conway,5029,0,0,0,0,124
ar,conway,5029,4844,0,0,0,0
ar,craighead,5031,0,0,1026,0,0
ar,craighead,5031,0,10474,0,0,0
ar,craighead,5031,22798,0,0,0,0
ar,craighead,5031,0,0,0,303,0
ar,craighead,5031,0,0,0,0,367
ar,crawford,5033,0,0,0,173,0
ar,crawford,5033,0,0,578,0,0
ar,crawford,5033,16655,0,0,0,0
ar,crawford,5033,0,0,0,0,273
ar,crawford,5033,0,4476,0,0,0
ar,crittenden,5035,0,0,0,95,0
ar,crittenden,5035,0,8368,0,0,0
ar,crittenden,5035,0,0,0,0,140
ar,crittenden,5035,0,0,242,0,0
ar,crittenden,5035,6953,0,0,0,0
ar,cross,5037,0,0,0,0,130
ar,cross,5037,0,1995,0,0,0
ar,cross,5037,4577,0,0,0,0
ar,cross,5037,0,0,0,24,0
ar,cross,5037,0,0,105,0,0
ar,dallas,5039,0,1165,0,0,0
ar,dallas,5039,0,0,0,12,0
ar,dallas,5039,0,0,0,0,31
ar,dallas,5039,1507,0,0,0,0
ar,dallas,5039,0,0,26,0,0
ar,desha,5041,0,0,44,0,0
ar,desha,5041,1915,0,0,0,0
ar,desha,5041,0,2227,0,0,0
ar,desha,5041,0,0,0,0,36
ar,desha,5041,0,0,0,4,0
ar,drew,5043,0,0,0,43,0
ar,drew,5043,0,2364,0,0,0
ar,drew,5043,0,0,108,0,0
ar,drew,5043,0,0,0,0,70
ar,drew,5043,3967,0,0,0,0
ar,faulkner,5045,0,0,1639,0,0
ar,faulkner,5045,29170,0,0,0,0
ar,faulkner,5045,0,14525,0,0,0
ar,faulkner,5045,0,0,0,0,523
ar,faulkner,5045,0,0,0,507,0
ar,franklin,5047,5034,0,0,0,0
ar,franklin,5047,0,0,0,34,0
ar,franklin,5047,0,1376,0,0,0
ar,franklin,5047,0,0,0,0,77
ar,franklin,5047,0,0,177,0,0
ar,fulton,5049,0,1067,0,0,0
ar,fulton,5049,3470,0,0,0,0
ar,fulton,5049,0,0,0,0,59
ar,fulton,5049,0,0,107,0,0
ar,fulton,5049,0,0,0,41,0
ar,garland,5051,0,0,984,0,0
ar,garland,5051,0,12283,0,0,0
ar,garland,5051,0,0,0,0,630
ar,garland,5051,0,0,0,387,0
ar,garland,5051,26053,0,0,0,0
ar,grant,5053,0,1407,0,0,0
ar,grant,5053,0,0,0,0,83
ar,grant,5053,5160,0,0,0,0
ar,grant,5053,0,0,175,0,0
ar,grant,5053,0,0,0,30,0
ar,greene,5055,0,0,0,97,0
ar,greene,5055,0,0,401,0,0
ar,greene,5055,0,0,0,0,170
ar,greene,5055,0,3056,0,0,0
ar,greene,5055,10698,0,0,0,0
ar,hempstead,5057,0,2371,0,0,0
ar,hempstead,5057,0,0,105,0,0
ar,hempstead,5057,0,0,0,0,95
ar,hempstead,5057,4391,0,0,0,0
ar,hempstead,5057,0,0,0,22,0
ar,hot spring,5059,8153,0,0,0,0
ar,hot spring,5059,0,0,237,0,0
ar,hot spring,5059,0,0,0,0,176
ar,hot spring,5059,0,3137,0,0,0
ar,hot spring,5059,0,0,0,112,0
ar,howard,5061,0,0,60,0,0
ar,howard,5061,0,0,0,0,47
ar,howard,5061,0,0,0,22,0
ar,howard,5061,0,1350,0,0,0
ar,howard,5061,3155,0,0,0,0
ar,independence,5063,0,0,0,85,0
ar,independence,5063,0,2878,0,0,0
ar,independence,5063,0,0,0,0,205
ar,independence,5063,9925,0,0,0,0
ar,independence,5063,0,0,350,0,0
ar,izard,5065,0,1111,0,0,0
ar,izard,5065,0,0,0,45,0
ar,izard,5065,4042,0,0,0,0
ar,izard,5065,0,0,125,0,0
ar,izard,5065,0,0,0,0,73
ar,jackson,5067,0,0,0,26,0
ar,jackson,5067,3262,0,0,0,0
ar,jackson,5067,0,1583,0,0,0
ar,jackson,5067,0,0,0,0,111
ar,jackson,5067,0,0,111,0,0
ar,jefferson,5069,0,0,0,156,0
ar,jefferson,5069,0,15721,0,0,0
ar,jefferson,5069,0,0,0,0,281
ar,jefferson,5069,0,0,294,0,0
ar,jefferson,5069,9231,0,0,0,0
ar,johnson,5071,0,0,0,90,0
ar,johnson,5071,0,2421,0,0,0
ar,johnson,5071,6072,0,0,0,0
ar,johnson,5071,0,0,0,0,121
ar,johnson,5071,0,0,293,0,0
ar,lafayette,5073,0,0,26,0,0
ar,lafayette,5073,1750,0,0,0,0
ar,lafayette,5073,0,0,0,5,0
ar,lafayette,5073,0,0,0,0,26
ar,lafayette,5073,0,1028,0,0,0
ar,lawrence,5075,4064,0,0,0,0
ar,lawrence,5075,0,0,165,0,0
ar,lawrence,5075,0,0,0,0,98
ar,lawrence,5075,0,0,0,39,0
ar,lawrence,5075,0,1263,0,0,0
ar,lee,5077,0,0,0,0,18
ar,lee,5077,0,0,0,6,0
ar,lee,5077,0,0,16,0,0
ar,lee,5077,1229,0,0,0,0
ar,lee,5077,0,1735,0,0,0
ar,lincoln,5079,0,0,0,16,0
ar,lincoln,5079,0,0,48,0,0
ar,lincoln,5079,2455,0,0,0,0
ar,lincoln,5079,0,0,0,0,43
ar,lincoln,5079,0,1252,0,0,0
ar,little river,5081,0,1397,0,0,0
ar,little river,5081,0,0,0,0,92
ar,little river,5081,3604,0,0,0,0
ar,little river,5081,0,0,85,0,0
ar,little river,5081,0,0,0,14,0
ar,logan,5083,0,1712,0,0,0
ar,logan,5083,0,0,195,0,0
ar,logan,5083,5737,0,0,0,0
ar,logan,5083,0,0,0,0,141
ar,logan,5083,0,0,0,54,0
ar,lonoke,5085,0,0,0,170,0
ar,lonoke,5085,0,0,0,0,296
ar,lonoke,5085,0,5638,0,0,0
ar,lonoke,5085,19902,0,0,0,0
ar,lonoke,5085,0,0,760,0,0
ar,madison,5087,4917,0,0,0,0
ar,madison,5087,0,0,0,0,80
ar,madison,5087,0,0,0,54,0
ar,madison,5087,0,0,144,0,0
ar,madison,5087,0,1587,0,0,0
ar,marion,5089,0,0,0,53,0
ar,marion,5089,5077,0,0,0,0
ar,marion,5089,0,0,0,0,61
ar,marion,5089,0,0,150,0,0
ar,marion,5089,0,1377,0,0,0
ar,miller,5091,0,0,237,0,0
ar,miller,5091,0,0,0,69,0
ar,miller,5091,11293,0,0,0,0
ar,miller,5091,0,4273,0,0,0
ar,miller,5091,0,0,0,0,143
ar,mississippi,5093,0,0,0,0,146
ar,mississippi,5093,0,0,176,0,0
ar,mississippi,5093,6988,0,0,0,0
ar,mississippi,5093,0,0,0,64,0
ar,mississippi,5093,0,5621,0,0,0
ar,monroe,5095,0,0,0,9,0
ar,monroe,5095,1400,0,0,0,0
ar,monroe,5095,0,1298,0,0,0
ar,monroe,5095,0,0,35,0,0
ar,monroe,5095,0,0,0,0,24
ar,montgomery,5097,0,735,0,0,0
ar,montgomery,5097,0,0,0,0,55
ar,montgomery,5097,0,0,50,0,0
ar,montgomery,5097,2573,0,0,0,0
ar,montgomery,5097,0,0,0,32,0
ar,nevada,5099,0,0,0,0,35
ar,nevada,5099,0,0,0,6,0
ar,nevada,5099,0,0,35,0,0
ar,nevada,5099,2001,0,0,0,0
ar,nevada,5099,0,1156,0,0,0
ar,newton,5101,0,699,0,0,0
ar,newton,5101,0,0,0,0,39
ar,newton,5101,0,0,0,69,0
ar,newton,5101,2875,0,0,0,0
ar,newton,5101,0,0,49,0,0
ar,ouachita,5103,0,0,0,24,0
ar,ouachita,5103,5347,0,0,0,0
ar,ouachita,5103,0,4320,0,0,0
ar,ouachita,5103,0,0,97,0,0
ar,ouachita,5103,0,0,0,0,93
ar,perry,5105,0,0,0,0,49
ar,perry,5105,0,0,112,0,0
ar,perry,5105,2979,0,0,0,0
ar,perry,5105,0,0,0,38,0
ar,perry,5105,0,1035,0,0,0
ar,phillips,5107,0,0,0,0,77
ar,phillips,5107,2443,0,0,0,0
ar,phillips,5107,0,0,0,20,0
ar,phillips,5107,0,0,62,0,0
ar,phillips,5107,0,4292,0,0,0
ar,pike,5109,0,0,73,0,0
