abbr_state,county,fips,democrat,republican,other
il,adams,17001,12344,0,0
il,adams,34002,0,0,1235
il,adams,17001,0,18046,0
il,alexander,17003,1511,0,0
il,alexander,34006,0,0,91
il,alexander,17003,0,1121,0
il,bond,17005,3201,0,0
il,bond,34010,0,0,402
il,bond,17005,0,3836,0
il,boone,17007,8477,0,0
il,boone,34014,0,0,1542
il,boone,17007,0,12497,0
il,brown,17009,791,0,0
il,brown,34018,0,0,96
il,brown,17009,0,1366,0
il,bureau,17011,6819,0,0
il,bureau,34022,0,0,943
il,bureau,17011,0,8415,0
il,calhoun,17013,1272,0,0
il,calhoun,34026,0,0,73
il,calhoun,17013,0,1129,0
il,carroll,17015,2567,0,0
il,carroll,34030,0,0,391
il,carroll,17015,0,4348,0
il,cass,17017,1795,0,0
il,cass,34034,0,0,303
il,cass,17017,0,2914,0
il,champaign,17019,45355,0,0
il,champaign,34038,0,0,5153
il,champaign,17019,0,38525,0
il,christian,17021,4863,0,0
il,christian,34042,0,0,987
il,christian,17021,0,9297,0
il,clark,17023,2392,0,0
il,clark,34046,0,0,388
il,clark,17023,0,4949,0
il,clay,17025,1909,0,0
il,clay,34050,0,0,275
il,clay,17025,0,3896,0
il,clinton,17027,6413,0,0
il,clinton,34054,0,0,694
il,clinton,17027,0,10032,0
il,coles,17029,7493,0,0
il,coles,34058,0,0,1370
il,coles,17029,0,12587,0
il,cook,17031,0,0,0
il,cook,NA,1423087,0,0
il,cook,NA,0,0,95844
il,cook,NA,0,512164,0
il,crawford,17033,2621,0,0
il,crawford,34066,0,0,432
il,crawford,17033,0,5338,0
il,cumberland,17035,1328,0,0
il,cumberland,34070,0,0,372
il,cumberland,17035,0,3790,0
il,de witt,17039,1941,0,0
il,de witt,34078,0,0,513
il,de witt,17039,0,5002,0
il,dekalb,17037,19906,0,0
il,dekalb,34074,0,0,3393
il,dekalb,17037,0,19299,0
il,douglas,17041,1968,0,0
il,douglas,34082,0,0,497
il,douglas,17041,0,5594,0
il,dupage,17043,203279,0,0
il,dupage,34086,0,0,22605
il,dupage,17043,0,190201,0
il,edgar,17045,2011,0,0
il,edgar,34090,0,0,418
il,edgar,17045,0,5279,0
il,edwards,17047,724,0,0
il,edwards,34094,0,0,134
il,edwards,17047,0,2321,0
il,effingham,17049,3801,0,0
il,effingham,34098,0,0,934
il,effingham,17049,0,12497,0
il,fayette,17051,3196,0,0
il,fayette,34102,0,0,431
il,fayette,17051,0,5744,0
il,ford,17053,1417,0,0
il,ford,34106,0,0,400
il,ford,17053,0,4497,0
il,franklin,17055,8518,0,0
il,franklin,34110,0,0,889
il,franklin,17055,0,8885,0
il,fulton,17057,6711,0,0
il,fulton,34114,0,0,1162
il,fulton,17057,0,7690,0
il,gallatin,17059,1263,0,0
il,gallatin,34118,0,0,85
il,gallatin,17059,0,1209,0
il,greene,17061,2019,0,0
il,greene,34122,0,0,318
il,greene,17061,0,3059,0
il,grundy,17063,9425,0,0
il,grundy,34126,0,0,1715
il,grundy,17063,0,11587,0
il,hamilton,17065,1626,0,0
il,hamilton,34130,0,0,161
il,hamilton,17065,0,2170,0
il,hancock,17067,2931,0,0
il,hancock,34134,0,0,360
il,hancock,17067,0,4497,0
il,hardin,17069,863,0,0
il,hardin,34138,0,0,63
il,hardin,17069,0,1135,0
il,henderson,17071,1403,0,0
il,henderson,34142,0,0,198
il,henderson,17071,0,1818,0
il,henry,17073,9459,0,0
il,henry,34146,0,0,1318
il,henry,17073,0,13181,0
il,iroquois,17075,2746,0,0
il,iroquois,34150,0,0,751
il,iroquois,17075,0,9356,0
il,jackson,17077,13720,0,0
il,jackson,34154,0,0,1716
il,jackson,17077,0,8983,0
il,jasper,17079,1420,0,0
il,jasper,34158,0,0,214
il,jasper,17079,0,3310,0
il,jefferson,17081,6886,0,0
il,jefferson,34162,0,0,888
il,jefferson,17081,0,8775,0
il,jersey,17083,4226,0,0
il,jersey,34166,0,0,558
il,jersey,17083,0,5829,0
il,jo daviess,17085,4513,0,0
il,jo daviess,34170,0,0,589
il,jo daviess,17085,0,5978,0
il,johnson,17087,2049,0,0
il,johnson,34174,0,0,308
il,johnson,17087,0,3568,0
il,kane,17089,93092,0,0
il,kane,34178,0,0,12420
il,kane,17089,0,87153,0
il,kankakee,17091,20840,0,0
il,kankakee,34182,0,0,2764
il,kankakee,17091,0,22797,0
il,kendall,17093,22656,0,0
il,kendall,34186,0,0,3638
il,kendall,17093,0,24313,0
il,knox,17095,10516,0,0
il,knox,34190,0,0,1186
il,knox,17095,0,10257,0
il,la salle,17099,21773,0,0
il,la salle,34198,0,0,2980
il,la salle,17099,0,23074,0
il,lake,17097,147888,0,0
il,lake,34194,0,0,14042
il,lake,17097,0,133592,0
il,lawrence,17101,1933,0,0
il,lawrence,34202,0,0,244
il,lawrence,17101,0,3700,0
il,lee,17103,5562,0,0
il,lee,34206,0,0,1023
il,lee,17103,0,8624,0
il,livingston,17105,3998,0,0
il,livingston,34210,0,0,950
il,livingston,17105,0,10154,0
il,logan,17107,3262,0,0
il,logan,34214,0,0,719
il,logan,17107,0,8217,0
il,macon,17115,18469,0,0
il,macon,34230,0,0,2618
il,macon,17115,0,26030,0
il,macoupin,17117,10100,0,0
il,macoupin,34234,0,0,1056
il,macoupin,17117,0,10450,0
il,madison,17119,63957,0,0
il,madison,34238,0,0,6588
il,madison,17119,0,56495,0
il,marion,17121,6650,0,0
