"abbr_state","county","candidate","votes","percent_won","percent_complete","fips"
"az","apache","democrat",13122,68.4,100,4001
"az","apache","other",828,4.3,100,4001
"az","apache","republican",5229,27.3,100,4001
"az","cochise","democrat",15526,36.4,100,4003
"az","cochise","other",2740,6.4,100,4003
"az","cochise","republican",24371,57.2,100,4003
"az","coconino","democrat",24833,54.4,100,4005
"az","coconino","other",2311,5.1,100,4005
"az","coconino","republican",18510,40.5,100,4005
"az","gila","democrat",6462,31.2,100,4007
"az","gila","other",1560,7.5,100,4007
"az","gila","republican",12689,61.3,100,4007
"az","graham","democrat",3280,27.6,100,4009
"az","graham","other",871,7.3,100,4009
"az","graham","republican",7728,65.1,100,4009
"az","greenlee","democrat",1189,36.7,100,4011
"az","greenlee","other",268,8.3,100,4011
"az","greenlee","republican",1784,55,100,4011
"az","la paz","democrat",1361,28.1,100,4012
"az","la paz","other",388,8,100,4012
"az","la paz","republican",3092,63.9,100,4012
"az","maricopa","democrat",475311,39.9,100,4013
"az","maricopa","other",62749,5.3,100,4013
"az","maricopa","republican",653754,54.9,100,4013
"az","mohave","democrat",17998,25.2,100,4015
"az","mohave","other",6172,8.6,100,4015
"az","mohave","republican",47212,66.1,100,4015
"az","navajo","democrat",16424,46.4,100,4017
"az","navajo","other",2421,6.8,100,4017
"az","navajo","republican",16516,46.7,100,4017
"az","pima","democrat",177131,49.6,100,4019
"az","pima","other",16482,4.6,100,4019
"az","pima","republican",163310,45.8,100,4019
"az","pinal","democrat",34212,36.7,100,4021
"az","pinal","other",6217,6.7,100,4021
"az","pinal","republican",52912,56.7,100,4021
"az","santa cruz","democrat",8953,61,100,4023
"az","santa cruz","other",546,3.7,100,4023
"az","santa cruz","republican",5185,35.3,100,4023
"az","yavapai","democrat",29011,32,100,4025
"az","yavapai","other",6308,6.9,100,4025
"az","yavapai","republican",55457,61.1,100,4025
"az","yuma","democrat",14729,38.2,100,4027
"az","yuma","other",2290,5.9,100,4027
"az","yuma","republican",21575,55.9,100,4027
"fl","alachua","democrat",69059,54.5,100,12001
"fl","alachua","other",3682,3,500,60005
"fl","alachua","republican",53884,42.6,100,12001
"fl","baker","democrat",2135,17.1,100,12003
"fl","baker","other",422,3.4,500,60015
"fl","baker","republican",9901,79.5,100,12003
"fl","bay","democrat",19889,23,100,12005
"fl","bay","other",3829,4.4,500,60025
"fl","bay","republican",62723,72.6,100,12005
"fl","bradford","democrat",2694,22.7,100,12007
"fl","bradford","other",453,3.9,500,60035
"fl","bradford","republican",8720,73.5,100,12007
"fl","brevard","democrat",112788,36.3,100,12009
"fl","brevard","other",16952,5.4,500,60045
"fl","brevard","republican",181349,58.3,100,12009
"fl","broward","democrat",517108,63.8,100,12011
"fl","broward","other",17085,2.1,500,60055
"fl","broward","republican",275930,34.1,100,12011
"fl","calhoun","democrat",1269,21.2,100,12013
"fl","calhoun","other",398,6.7,500,60065
"fl","calhoun","republican",4325,72.2,100,12013
"fl","charlotte","democrat",30184,31.8,100,12015
"fl","charlotte","other",4669,4.9,500,60075
"fl","charlotte","republican",60176,63.3,100,12015
"fl","citrus","democrat",24014,30.7,100,12017
"fl","citrus","other",5418,6.9,500,60085
"fl","citrus","republican",48727,62.3,100,12017
"fl","clay","democrat",23207,22.1,100,12019
"fl","clay","other",4093,4,500,60095
"fl","clay","republican",77908,74.1,100,12019
"fl","collier","democrat",49358,29.2,100,12021
"fl","collier","other",4167,2.6,500,60105
"fl","collier","republican",115575,68.3,100,12021
"fl","columbia","democrat",7360,26,100,12023
"fl","columbia","other",1014,3.6,500,60115
"fl","columbia","republican",19917,70.4,100,12023
"fl","desoto","democrat",3332,31.5,100,12027
"fl","desoto","other",444,4.3,500,60135
"fl","desoto","republican",6810,64.3,100,12027
"fl","dixie","democrat",1582,22.7,100,12029
"fl","dixie","other",357,5.2,500,60145
"fl","dixie","republican",5040,72.2,100,12029
"fl","duval","democrat",169878,40.1,100,12031
"fl","duval","other",15004,3.6,500,60155
"fl","duval","republican",239052,56.4,100,12031
"fl","escambia","democrat",51021,33.9,100,12033
"fl","escambia","other",5857,3.8,500,60165
"fl","escambia","republican",93693,62.2,100,12033
"fl","flagler","democrat",21229,37.5,100,12035
"fl","flagler","other",2443,4.2,500,60175
"fl","flagler","republican",32867,58.1,100,12035
"fl","franklin","democrat",1820,30.9,100,12037
"fl","franklin","other",221,3.8,500,60185
"fl","franklin","republican",3854,65.4,100,12037
"fl","gadsden","democrat",14549,66.4,100,12039
"fl","gadsden","other",491,2.2,500,60195
"fl","gadsden","republican",6880,31.4,100,12039
"fl","gilchrist","democrat",1675,20.1,100,12041
"fl","gilchrist","other",346,4.1,500,60205
"fl","gilchrist","republican",6301,75.7,100,12041
"fl","glades","democrat",1196,27.8,100,12043
"fl","glades","other",172,4,500,60215
"fl","glades","republican",2927,68.1,100,12043
"fl","gulf","democrat",1747,24.3,100,12045
"fl","gulf","other",265,3.7,500,60225
"fl","gulf","republican",5182,72,100,12045
"fl","hamilton","democrat",2103,39.3,100,12047
"fl","hamilton","other",201,3.8,500,60235
"fl","hamilton","republican",3046,56.9,100,12047
"fl","hardee","democrat",2024,27,100,12049
